id,nome,cidade
p0,Alana Costa,Macedo de da Paz
p1,Paulo Fernandes,Silveira
p2,João Felipe Costela,Moura de Pires
p3,Nicole Guerra,Pastor das Pedras
p4,Heloísa Alves,Silveira
p5,Ana Luiza Nogueira,da Conceição
p6,Jade Siqueira,Borges Verde
p7,Hellena Nogueira,Vargas
p8,Joana Cassiano,Abreu de Nunes
p9,Aurora Barbosa,Teixeira da Praia
p10,Esther Correia,Garcia da Prata
p11,Maria Flor da Paz,Araújo de Goiás
p12,Matheus Brito,Novais da Praia
p13,Manuella Rodrigues,Andrade
p14,Thomas da Mata,Leão das Pedras
p15,Pietra Garcia,Pires da Praia
p16,Samuel Cardoso,Mendonça das Flores
p17,Enrico Alves,da Luz do Galho
p18,Luiz Henrique Rodrigues,Jesus
p19,Thiago Pires,Ramos
p20,Srta. Brenda Teixeira,da Costa do Oeste
p21,Bruno Casa Grande,Rodrigues
p22,Alice da Paz,Lima do Amparo
p23,Ana Cecília Garcia,Alves
p24,Henry Gabriel Albuquerque,Borges da Praia
p25,Sr. Ravi Lucca Novaes,Sales Verde
p26,Anthony Brito,Azevedo Alegre
p27,Theodoro Cavalcanti,da Conceição das Pedras
p28,Leonardo Teixeira,Albuquerque
p29,Lucca Sousa,Machado de Aragão
p30,Ana Beatriz Freitas,Casa Grande
p31,Dr. Henrique Sales,Cirino do Campo
p32,Augusto Sales,Monteiro da Serra
p33,Dra. Letícia Andrade,Vasconcelos
p34,Lunna Cardoso,Sales
p35,Thales Ribeiro,Monteiro de Caldeira
p36,Clara Teixeira,Lima do Norte
p37,Catarina Freitas,Mendes da Serra
p38,Eduarda Gomes,Monteiro das Flores
p39,Mariane Teixeira,Gonçalves
p40,Ravi Lucca Mendes,Machado das Flores
p41,Maitê Rocha,Ferreira
p42,Lívia Sá,Rios dos Dourados
p43,Bianca da Conceição,Mendes de Novaes
p44,Mathias Gomes,Jesus das Flores
p45,Sr. Arthur Miguel da Cunha,Rios
p46,Pietra Santos,Rezende de Mendes
p47,Maria Cecília Martins,Sales
p48,Isabela Silva,Lopes dos Dourados
p49,Levi Gonçalves,Sá do Amparo
p50,Levi Azevedo,Farias
p51,Lunna Araújo,Sales de Rocha
p52,Ágatha Abreu,da Mota de Moura
p53,Dra. Alexia da Mota,Melo da Praia
p54,Isabela Borges,Porto
p55,Marcelo Ramos,Almeida do Sul
p56,Lorenzo Mendonça,Sampaio de Goiás
p57,Dra. Bella Duarte,Costa
p58,Bianca Marques,Marques
p59,Heloisa Fonseca,Correia do Sul
p60,João Guilherme Sá,Barbosa de Macedo
p61,Alana Nogueira,Barros da Serra
p62,Benjamim Aragão,Guerra das Flores
p63,Zoe Sá,Andrade de da Rocha
p64,Théo da Rosa,da Rocha
p65,Emanuella Fernandes,Aragão de Costela
p66,Gabriel Pinto,Nascimento
p67,Srta. Gabrielly Moreira,Gomes de Viana
p68,Sr. Théo Teixeira,Silveira do Galho
p69,Nina Cirino,Costela dos Dourados
p70,Enzo Sá,da Mota Grande
p71,Alexia Borges,Moura das Flores
p72,Sra. Raquel Aparecida,da Paz de Campos
p73,Yan Gonçalves,da Cunha da Mata
p74,Mariana Andrade,Costela Grande
p75,Lucas Gabriel Vasconcelos,Nascimento
p76,Vitor Hugo Garcia,Pastor das Pedras
p77,Kamilly da Mata,Cirino das Pedras
p78,Bernardo Vargas,Aragão
p79,Isabela Novaes,da Costa dos Dourados
p80,João Felipe Garcia,Marques de Minas
p81,Marina Vieira,Dias de Cassiano
p82,Juan Gomes,Freitas
p83,Apollo Almeida,Pastor
p84,Léo Abreu,da Cruz de Novais
p85,Danilo Nascimento,Pastor de Goiás
p86,José Miguel Ferreira,Novais Alegre
p87,Olivia Lopes,da Mota de Aparecida
p88,Augusto Rezende,Brito das Pedras
p89,Luara Aparecida,Siqueira
p90,Cecília Freitas,Lima
p91,Milena Garcia,Sales da Prata
p92,João Pedro Casa Grande,Cunha de Borges
p93,Brayan Barros,da Luz
p94,Dra. Mirella Barros,Viana
p95,Catarina Ramos,Machado da Serra
p96,Dr. Arthur Câmara,Machado
p97,Ayla da Cruz,Guerra do Campo
p98,Ana Luiza Duarte,Macedo de Sá
p99,Bruno Carvalho,Barros do Campo
p100,Ravi Oliveira,Dias
p101,Thiago Souza,Vargas
p102,José Montenegro,Cardoso do Sul
p103,Emilly Novaes,Cunha de Ribeiro
p104,Dr. João Sales,Albuquerque do Oeste
p105,Ana Leão,Nogueira
p106,Dom da Rosa,da Cunha
p107,Yan Costela,Souza
p108,Alícia Gonçalves,da Cunha
p109,Théo Barbosa,Caldeira de Machado
p110,Brenda da Cunha,Albuquerque do Galho
p111,Dra. Yasmin Machado,Machado Alegre
p112,Valentina Cavalcanti,Cavalcanti de da Luz
p113,João Miguel Farias,Porto
p114,Sr. Yago Nogueira,Sales
p115,Luiz Felipe Moraes,Vasconcelos
p116,Anthony Caldeira,Lopes
p117,Arthur Gabriel Aragão,da Cunha
p118,Valentim Aparecida,Alves da Mata
p119,Lavínia Sá,Rodrigues
p120,Asafe Araújo,Rodrigues do Norte
p121,Asafe Fogaça,Sousa das Pedras
p122,Arthur Gabriel Novais,Correia
p123,Maria Liz Rios,da Mota
p124,Ísis Azevedo,Cavalcante do Campo
p125,Liz Fogaça,da Cruz
p126,Ayla Barbosa,Cassiano Paulista
p127,Apollo Cardoso,Siqueira do Amparo
p128,Sra. Ana Liz Aparecida,das Neves da Prata
